,Branch,Call Purpose,Time Block,Incoming or Outgoing,Queue,Rep ID,Sale,Lost Call,Abandoned,Busy Minutes,Not Ready Minutes,Incoming Wait Time,During Call Wait Time,Calls
458,North,Product Support,2:00 PM,Outgoing,B,Brent,NO,0,0,10,2,,4,1
459,North,Product Support,2:00 PM,Outgoing,A,Cam,NO,0,0,12,2,,2,1
461,North,Product Support,2:00 PM,Outgoing,B,Todd,NO,0,0,12,3,,4,1
463,North,Product Support,2:00 PM,Outgoing,B,Duke,NO,0,0,8,1,,2,1
464,North,Product Support,2:00 PM,Outgoing,B,Brent,NO,0,0,10,2,,3,1
465,North,Product Support,2:00 PM,Outgoing,B,Duke,NO,0,0,12,1,,3,1
467,North,Product Support,2:00 PM,Outgoing,B,Lilly,NO,0,0,11,1,,2,1
468,North,Product Support,2:00 PM,Outgoing,B,Brent,NO,0,0,9,3,,2,1
469,North,Product Support,2:00 PM,Outgoing,A,Joe,NO,0,0,8,1,,2,1
470,North,Product Support,2:00 PM,Outgoing,A,Joe,NO,0,0,10,3,,3,1
472,North,Product Support,2:00 PM,Outgoing,A,Joe,NO,0,0,10,1,,3,1
478,North,Product Support,3:00 PM,Outgoing,B,Lilly,NO,0,0,9,3,,2,1
480,North,Product Support,3:00 PM,Outgoing,A,Joe,NO,0,0,9,1,,4,1
482,North,Product Support,3:00 PM,Outgoing,B,Xander,NO,0,0,9,1,,3,1
484,North,Product Support,3:00 PM,Outgoing,B,Xander,NO,0,0,11,1,,2,1
487,North,Product Support,3:00 PM,Outgoing,B,Todd,NO,0,0,10,1,,4,1
490,North,Product Support,3:00 PM,Outgoing,A,Cam,NO,0,0,8,3,,2,1
491,North,Product Support,3:00 PM,Outgoing,A,Amanda,NO,0,0,8,2,,2,1
493,North,Product Support,3:00 PM,Outgoing,B,Brent,NO,0,0,10,2,,2,1
496,North,Product Support,3:00 PM,Outgoing,B,Duke,NO,0,0,10,1,,2,1
497,North,Product Support,3:00 PM,Outgoing,A,Cam,NO,0,0,12,1,,4,1
498,North,Product Support,3:00 PM,Outgoing,B,Brent,NO,0,0,9,2,,3,1
500,North,Product Support,3:00 PM,Outgoing,B,Lilly,NO,0,0,12,1,,4,1
501,North,Product Support,3:00 PM,Outgoing,B,Todd,NO,0,0,11,1,,4,1
502,North,Product Support,3:00 PM,Outgoing,B,Brent,NO,0,0,9,1,,3,1
503,North,Product Support,3:00 PM,Outgoing,B,Todd,NO,0,0,11,3,,4,1
506,North,Product Support,3:00 PM,Outgoing,B,Duke,NO,0,0,8,2,,2,1
508,North,Product Support,3:00 PM,Outgoing,A,Joe,NO,0,0,11,2,,4,1
511,North,Product Support,4:00 PM,Outgoing,A,Cam,YES,0,0,8,1,,3,1
512,North,Product Support,4:00 PM,Outgoing,B,Lilly,NO,0,0,8,3,,2,1
514,North,Product Support,4:00 PM,Outgoing,A,Joe,NO,0,0,11,3,,2,1
518,North,Product Support,4:00 PM,Outgoing,B,Xander,NO,0,0,11,3,,4,1
520,North,Product Support,4:00 PM,Outgoing,B,Xander,NO,0,0,12,1,,2,1
522,North,Product Support,4:00 PM,Outgoing,B,Todd,NO,0,0,8,1,,4,1
523,North,Product Support,4:00 PM,Outgoing,B,Xander,NO,0,0,9,2,,3,1
525,North,Product Support,4:00 PM,Outgoing,B,Brent,YES,0,0,10,2,,4,1
526,North,Product Support,4:00 PM,Outgoing,B,Todd,NO,0,0,9,1,,3,1
527,North,Product Support,4:00 PM,Outgoing,B,Todd,NO,0,0,10,2,,3,1
528,North,Product Support,4:00 PM,Outgoing,B,Todd,NO,0,0,12,2,,3,1
531,North,Product Support,4:00 PM,Outgoing,A,Andy,NO,0,0,8,1,,3,1
534,North,Product Support,4:00 PM,Outgoing,B,Lilly,NO,0,0,9,3,,2,1
535,North,Product Support,4:00 PM,Outgoing,B,Xander,NO,0,0,9,2,,4,1
536,North,Product Support,4:00 PM,Outgoing,B,Todd,NO,0,0,11,2,,3,1
537,North,Product Support,5:00 PM,Outgoing,B,Todd,NO,0,0,10,1,,2,1
538,North,Product Support,5:00 PM,Outgoing,B,Duke,NO,0,0,8,3,,4,1
539,North,Product Support,5:00 PM,Outgoing,B,Duke,NO,0,0,11,2,,2,1
543,North,Product Support,5:00 PM,Outgoing,B,Brent,NO,0,0,10,1,,3,1
547,North,Product Support,5:00 PM,Outgoing,B,Brent,NO,0,0,10,3,,3,1
548,North,Product Support,5:00 PM,Outgoing,B,Brent,NO,0,0,10,2,,3,1
549,North,Product Support,5:00 PM,Outgoing,A,Joe,NO,0,0,8,3,,2,1
555,North,Product Support,5:00 PM,Outgoing,A,Amanda,NO,0,0,12,1,,2,1
557,North,Product Support,5:00 PM,Outgoing,A,Cam,NO,0,0,11,2,,2,1
558,North,Product Support,5:00 PM,Outgoing,B,Xander,NO,0,0,8,1,,4,1
